CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Gradient,log_det_hessian,PDH
NZ,0.7,Diag,Diag,05length,HamelCope,N_h07_Rb_Vb_D05l_Mhac,8.01732e-05,191.09,TRUE
NZ,0.7,Diag,Diag,05length,Estimated,N_h07_Rb_Vb_D05l_Mest,4.17407e-07,201.881,TRUE
NZ,0.7,Diag,Diag,05weight,HamelCope,N_h07_Rb_Vb_D05w_Mhac,0.000151811,169.2,TRUE
NZ,0.7,Diag,Diag,05weight,Estimated,N_h07_Rb_Vb_D05w_Mest,6.69467e-05,179.423,TRUE
NZ,0.7,Diag,Diag,20length,HamelCope,N_h07_Rb_Vb_D20l_Mhac,2.63398e-05,197.56,TRUE
NZ,0.7,Diag,Diag,20length,Estimated,N_h07_Rb_Vb_D20l_Mest,1.95958e-05,209.527,TRUE
NZ,0.7,Diag,Diag,20weight,HamelCope,N_h07_Rb_Vb_D20w_Mhac,0.000391128,219.497,TRUE
NZ,0.7,Diag,Diag,20weight,Estimated,N_h07_Rb_Vb_D20w_Mest,9.90822e-05,232.138,TRUE
NZ,0.7,Diag,Diag,Diag,HamelCope,N_h07_Rb_Vb_Dbas_Mhac,3.54176e-05,194.165,TRUE
NZ,0.7,Diag,Diag,Diag,Estimated,N_h07_Rb_Vb_Dbas_Mest,0.000280519,205.439,TRUE
NZ,0.7,Diag,Half1to2,05length,HamelCope,N_h07_Rb_V1_D05l_Mhac,2.40918e-05,191.271,TRUE
NZ,0.7,Diag,Half1to2,05length,Estimated,N_h07_Rb_V1_D05l_Mest,6.01432e-06,202.105,TRUE
NZ,0.7,Diag,Half1to2,05weight,HamelCope,N_h07_Rb_V1_D05w_Mhac,4.56359e-05,169.39,TRUE
NZ,0.7,Diag,Half1to2,05weight,Estimated,N_h07_Rb_V1_D05w_Mest,7.36828e-05,179.697,TRUE
NZ,0.7,Diag,Half1to2,20length,HamelCope,N_h07_Rb_V1_D20l_Mhac,3.19576e-06,197.979,TRUE
NZ,0.7,Diag,Half1to2,20length,Estimated,N_h07_Rb_V1_D20l_Mest,0.000273775,209.636,TRUE
NZ,0.7,Diag,Half1to2,20weight,HamelCope,N_h07_Rb_V1_D20w_Mhac,9.58627e-06,220.27,TRUE
NZ,0.7,Diag,Half1to2,20weight,Estimated,N_h07_Rb_V1_D20w_Mest,5.82184e-06,231.967,TRUE
NZ,0.7,Diag,Half1to2,Diag,HamelCope,N_h07_Rb_V1_Dbas_Mhac,0.000137906,194.43,TRUE
NZ,0.7,Diag,Half1to2,Diag,Estimated,N_h07_Rb_V1_Dbas_Mest,7.4543e-05,205.532,TRUE
NZ,0.7,Diag,Half2to1,05length,HamelCope,N_h07_Rb_V2_D05l_Mhac,2.24082e-05,190.399,TRUE
NZ,0.7,Diag,Half2to1,05length,Estimated,N_h07_Rb_V2_D05l_Mest,7.18166e-06,202.504,TRUE
NZ,0.7,Diag,Half2to1,05weight,HamelCope,N_h07_Rb_V2_D05w_Mhac,9.22142e-05,168.581,TRUE
NZ,0.7,Diag,Half2to1,05weight,Estimated,N_h07_Rb_V2_D05w_Mest,8.83463e-05,179.805,TRUE
NZ,0.7,Diag,Half2to1,20length,HamelCope,N_h07_Rb_V2_D20l_Mhac,0.000154206,196.813,TRUE
NZ,0.7,Diag,Half2to1,20length,Estimated,N_h07_Rb_V2_D20l_Mest,2.75495e-05,209.602,TRUE
NZ,0.7,Diag,Half2to1,20weight,HamelCope,N_h07_Rb_V2_D20w_Mhac,3.99071e-05,218.764,TRUE
NZ,0.7,Diag,Half2to1,20weight,Estimated,N_h07_Rb_V2_D20w_Mest,4.73971e-05,232.418,TRUE
NZ,0.7,Diag,Half2to1,Diag,HamelCope,N_h07_Rb_V2_Dbas_Mhac,0.00097356,193.481,TRUE
NZ,0.7,Diag,Half2to1,Diag,Estimated,N_h07_Rb_V2_Dbas_Mest,7.99879e-05,205.807,TRUE
NZ,0.7,MoreR2,Diag,05length,HamelCope,N_h07_R2_Vb_D05l_Mhac,2.77454e-08,192.98,TRUE
NZ,0.7,MoreR2,Diag,05length,Estimated,N_h07_R2_Vb_D05l_Mest,0.002326,202.211,TRUE
NZ,0.7,MoreR2,Diag,05weight,HamelCope,N_h07_R2_Vb_D05w_Mhac,6.19944e-06,171.019,TRUE
NZ,0.7,MoreR2,Diag,05weight,Estimated,N_h07_R2_Vb_D05w_Mest,3.8213e-05,179.662,TRUE
NZ,0.7,MoreR2,Diag,20length,HamelCope,N_h07_R2_Vb_D20l_Mhac,6.72371e-05,199.669,TRUE
NZ,0.7,MoreR2,Diag,20length,Estimated,N_h07_R2_Vb_D20l_Mest,0.000504647,209.47,TRUE
NZ,0.7,MoreR2,Diag,20weight,HamelCope,N_h07_R2_Vb_D20w_Mhac,1.00567e-05,221.839,TRUE
NZ,0.7,MoreR2,Diag,20weight,Estimated,N_h07_R2_Vb_D20w_Mest,4.63954e-05,232.051,TRUE
NZ,0.7,MoreR2,Diag,Diag,HamelCope,N_h07_R2_Vb_Dbas_Mhac,0.00013204,196.158,TRUE
NZ,0.7,MoreR2,Diag,Diag,Estimated,N_h07_R2_Vb_Dbas_Mest,0.00313457,205.577,TRUE
NZ,0.7,MoreR2,Half1to2,05length,HamelCope,N_h07_R2_V1_D05l_Mhac,2.71434e-08,193.442,TRUE
NZ,0.7,MoreR2,Half1to2,05length,Estimated,N_h07_R2_V1_D05l_Mest,2.73655e-05,202.166,TRUE
NZ,0.7,MoreR2,Half1to2,05weight,HamelCope,N_h07_R2_V1_D05w_Mhac,0.000638295,171.453,TRUE
NZ,0.7,MoreR2,Half1to2,05weight,Estimated,N_h07_R2_V1_D05w_Mest,4.83798e-05,179.776,TRUE
NZ,0.7,MoreR2,Half1to2,20length,HamelCope,N_h07_R2_V1_D20l_Mhac,9.12272e-06,200.068,TRUE
NZ,0.7,MoreR2,Half1to2,20length,Estimated,N_h07_R2_V1_D20l_Mest,0.000289801,209.388,TRUE
NZ,0.7,MoreR2,Half1to2,20weight,HamelCope,N_h07_R2_V1_D20w_Mhac,2.99525e-05,222.271,TRUE
NZ,0.7,MoreR2,Half1to2,20weight,Estimated,N_h07_R2_V1_D20w_Mest,4.31465e-05,231.808,TRUE
NZ,0.7,MoreR2,Half1to2,Diag,HamelCope,N_h07_R2_V1_Dbas_Mhac,0.000101079,196.598,TRUE
NZ,0.7,MoreR2,Half1to2,Diag,Estimated,N_h07_R2_V1_Dbas_Mest,6.59304e-05,205.52,TRUE
NZ,0.7,MoreR2,Half2to1,05length,HamelCope,N_h07_R2_V2_D05l_Mhac,7.09245e-05,192.01,TRUE
NZ,0.7,MoreR2,Half2to1,05length,Estimated,N_h07_R2_V2_D05l_Mest,6.50149e-05,202.529,TRUE
NZ,0.7,MoreR2,Half2to1,05weight,HamelCope,N_h07_R2_V2_D05w_Mhac,5.98297e-05,170.044,TRUE
NZ,0.7,MoreR2,Half2to1,05weight,Estimated,N_h07_R2_V2_D05w_Mest,6.21172e-05,179.741,TRUE
NZ,0.7,MoreR2,Half2to1,20length,HamelCope,N_h07_R2_V2_D20l_Mhac,9.17487e-05,198.444,TRUE
NZ,0.7,MoreR2,Half2to1,20length,Estimated,N_h07_R2_V2_D20l_Mest,0.00062837,209.427,TRUE
NZ,0.7,MoreR2,Half2to1,20weight,HamelCope,N_h07_R2_V2_D20w_Mhac,0.000619779,220.574,TRUE
NZ,0.7,MoreR2,Half2to1,20weight,Estimated,N_h07_R2_V2_D20w_Mest,0.000182548,232.378,TRUE
NZ,0.7,MoreR2,Half2to1,Diag,HamelCope,N_h07_R2_V2_Dbas_Mhac,1.33052e-07,195.074,TRUE
NZ,0.7,MoreR2,Half2to1,Diag,Estimated,N_h07_R2_V2_Dbas_Mest,0.00153124,205.763,TRUE
NZ,0.8,Diag,Diag,05length,HamelCope,N_h08_Rb_Vb_D05l_Mhac,8.90785e-06,191.126,TRUE
NZ,0.8,Diag,Diag,05length,Estimated,N_h08_Rb_Vb_D05l_Mest,1.74577e-06,202.81,TRUE
NZ,0.8,Diag,Diag,05weight,HamelCope,N_h08_Rb_Vb_D05w_Mhac,0.00106357,169.279,TRUE
NZ,0.8,Diag,Diag,05weight,Estimated,N_h08_Rb_Vb_D05w_Mest,0.000501953,180.054,TRUE
NZ,0.8,Diag,Diag,20length,HamelCope,N_h08_Rb_Vb_D20l_Mhac,3.5049e-05,197.622,TRUE
NZ,0.8,Diag,Diag,20length,Estimated,N_h08_Rb_Vb_D20l_Mest,4.60167e-05,210.372,TRUE
NZ,0.8,Diag,Diag,20weight,HamelCope,N_h08_Rb_Vb_D20w_Mhac,1.3652e-05,219.664,TRUE
NZ,0.8,Diag,Diag,20weight,Estimated,N_h08_Rb_Vb_D20w_Mest,9.08888e-05,233.16,TRUE
NZ,0.8,Diag,Diag,Diag,HamelCope,N_h08_Rb_Vb_Dbas_Mhac,7.09195e-05,194.221,TRUE
NZ,0.8,Diag,Diag,Diag,Estimated,N_h08_Rb_Vb_Dbas_Mest,0.000204305,206.242,TRUE
NZ,0.8,Diag,Half1to2,05length,HamelCope,N_h08_Rb_V1_D05l_Mhac,6.32068e-05,191.307,TRUE
NZ,0.8,Diag,Half1to2,05length,Estimated,N_h08_Rb_V1_D05l_Mest,1.16359e-07,202.853,TRUE
NZ,0.8,Diag,Half1to2,05weight,HamelCope,N_h08_Rb_V1_D05w_Mhac,3.37572e-08,169.536,TRUE
NZ,0.8,Diag,Half1to2,05weight,Estimated,N_h08_Rb_V1_D05w_Mest,3.89794e-05,180.253,TRUE
NZ,0.8,Diag,Half1to2,20length,HamelCope,N_h08_Rb_V1_D20l_Mhac,0.000360625,198.096,TRUE
NZ,0.8,Diag,Half1to2,20length,Estimated,N_h08_Rb_V1_D20l_Mest,0.000184694,210.258,TRUE
NZ,0.8,Diag,Half1to2,20weight,HamelCope,N_h08_Rb_V1_D20w_Mhac,0.000468252,220.403,TRUE
NZ,0.8,Diag,Half1to2,20weight,Estimated,N_h08_Rb_V1_D20w_Mest,9.23538e-07,232.828,TRUE
NZ,0.8,Diag,Half1to2,Diag,HamelCope,N_h08_Rb_V1_Dbas_Mhac,0.00024037,194.507,TRUE
NZ,0.8,Diag,Half1to2,Diag,Estimated,N_h08_Rb_V1_Dbas_Mest,8.42524e-05,206.292,TRUE
NZ,0.8,Diag,Half2to1,05length,HamelCope,N_h08_Rb_V2_D05l_Mhac,0.000127091,190.458,TRUE
NZ,0.8,Diag,Half2to1,05length,Estimated,N_h08_Rb_V2_D05l_Mest,1.55737e-08,203.146,TRUE
NZ,0.8,Diag,Half2to1,05weight,HamelCope,N_h08_Rb_V2_D05w_Mhac,9.98474e-05,168.611,TRUE
NZ,0.8,Diag,Half2to1,05weight,Estimated,N_h08_Rb_V2_D05w_Mest,9.41298e-05,180.252,TRUE
NZ,0.8,Diag,Half2to1,20length,HamelCope,N_h08_Rb_V2_D20l_Mhac,1.0088e-07,196.882,TRUE
NZ,0.8,Diag,Half2to1,20length,Estimated,N_h08_Rb_V2_D20l_Mest,0.000158088,210.249,TRUE
NZ,0.8,Diag,Half2to1,20weight,HamelCope,N_h08_Rb_V2_D20w_Mhac,1.26553e-07,218.914,TRUE
NZ,0.8,Diag,Half2to1,20weight,Estimated,N_h08_Rb_V2_D20w_Mest,0.0021797,233.694,TRUE
NZ,0.8,Diag,Half2to1,Diag,HamelCope,N_h08_Rb_V2_Dbas_Mhac,6.75175e-06,193.482,TRUE
NZ,0.8,Diag,Half2to1,Diag,Estimated,N_h08_Rb_V2_Dbas_Mest,6.24034e-05,206.46,TRUE
NZ,0.8,MoreR2,Diag,05length,HamelCope,N_h08_R2_Vb_D05l_Mhac,5.36693e-05,193.01,TRUE
NZ,0.8,MoreR2,Diag,05length,Estimated,N_h08_R2_Vb_D05l_Mest,1.23926e-07,202.905,TRUE
NZ,0.8,MoreR2,Diag,05weight,HamelCope,N_h08_R2_Vb_D05w_Mhac,7.4059e-05,171.083,TRUE
NZ,0.8,MoreR2,Diag,05weight,Estimated,N_h08_R2_Vb_D05w_Mest,7.08178e-05,180.2,TRUE
NZ,0.8,MoreR2,Diag,20length,HamelCope,N_h08_R2_Vb_D20l_Mhac,0.000215423,199.71,TRUE
NZ,0.8,MoreR2,Diag,20length,Estimated,N_h08_R2_Vb_D20l_Mest,7.73552e-08,210.098,TRUE
NZ,0.8,MoreR2,Diag,20weight,HamelCope,N_h08_R2_Vb_D20w_Mhac,9.32859e-05,222.002,TRUE
NZ,0.8,MoreR2,Diag,20weight,Estimated,N_h08_R2_Vb_D20w_Mest,0.00408083,233.017,TRUE
NZ,0.8,MoreR2,Diag,Diag,HamelCope,N_h08_R2_Vb_Dbas_Mhac,4.0375e-05,196.196,TRUE
NZ,0.8,MoreR2,Diag,Diag,Estimated,N_h08_R2_Vb_Dbas_Mest,1.47547e-05,206.25,TRUE
NZ,0.8,MoreR2,Half1to2,05length,HamelCope,N_h08_R2_V1_D05l_Mhac,3.53363e-05,193.513,TRUE
NZ,0.8,MoreR2,Half1to2,05length,Estimated,N_h08_R2_V1_D05l_Mest,2.50425e-08,202.82,TRUE
NZ,0.8,MoreR2,Half1to2,05weight,HamelCope,N_h08_R2_V1_D05w_Mhac,0.000257974,171.514,TRUE
NZ,0.8,MoreR2,Half1to2,05weight,Estimated,N_h08_R2_V1_D05w_Mest,4.51758e-05,180.211,TRUE
NZ,0.8,MoreR2,Half1to2,20length,HamelCope,N_h08_R2_V1_D20l_Mhac,0.000115873,200.111,TRUE
NZ,0.8,MoreR2,Half1to2,20length,Estimated,N_h08_R2_V1_D20l_Mest,0.000174,209.968,TRUE
NZ,0.8,MoreR2,Half1to2,20weight,HamelCope,N_h08_R2_V1_D20w_Mhac,0.00150589,222.431,TRUE
NZ,0.8,MoreR2,Half1to2,20weight,Estimated,N_h08_R2_V1_D20w_Mest,7.2364e-06,232.711,TRUE
NZ,0.8,MoreR2,Half1to2,Diag,HamelCope,N_h08_R2_V1_Dbas_Mhac,0.000327847,196.635,TRUE
NZ,0.8,MoreR2,Half1to2,Diag,Estimated,N_h08_R2_V1_Dbas_Mest,9.7506e-05,206.138,TRUE
NZ,0.8,MoreR2,Half2to1,05length,HamelCope,N_h08_R2_V2_D05l_Mhac,9.91073e-05,192.055,TRUE
NZ,0.8,MoreR2,Half2to1,05length,Estimated,N_h08_R2_V2_D05l_Mest,0.000284341,203.133,TRUE
NZ,0.8,MoreR2,Half2to1,05weight,HamelCope,N_h08_R2_V2_D05w_Mhac,4.15171e-05,170.113,TRUE
NZ,0.8,MoreR2,Half2to1,05weight,Estimated,N_h08_R2_V2_D05w_Mest,8.35309e-05,180.137,TRUE
NZ,0.8,MoreR2,Half2to1,20length,HamelCope,N_h08_R2_V2_D20l_Mhac,2.93375e-08,198.496,TRUE
NZ,0.8,MoreR2,Half2to1,20length,Estimated,N_h08_R2_V2_D20l_Mest,9.154e-05,210.071,TRUE
NZ,0.8,MoreR2,Half2to1,20weight,HamelCope,N_h08_R2_V2_D20w_Mhac,0.000644319,220.733,TRUE
NZ,0.8,MoreR2,Half2to1,20weight,Estimated,N_h08_R2_V2_D20w_Mest,0.00193039,233.632,TRUE
NZ,0.8,MoreR2,Half2to1,Diag,HamelCope,N_h08_R2_V2_Dbas_Mhac,0.000252219,195.121,TRUE
NZ,0.8,MoreR2,Half2to1,Diag,Estimated,N_h08_R2_V2_Dbas_Mest,0.00123308,206.343,TRUE
NZ,0.9,Diag,Diag,05length,HamelCope,N_h09_Rb_Vb_D05l_Mhac,0.00297645,191.181,TRUE
NZ,0.9,Diag,Diag,05length,Estimated,N_h09_Rb_Vb_D05l_Mest,1.56494e-06,203.488,TRUE
NZ,0.9,Diag,Diag,05weight,HamelCope,N_h09_Rb_Vb_D05w_Mhac,3.3579e-08,169.325,TRUE
NZ,0.9,Diag,Diag,05weight,Estimated,N_h09_Rb_Vb_D05w_Mest,4.89731e-05,180.497,TRUE
NZ,0.9,Diag,Diag,20length,HamelCope,N_h09_Rb_Vb_D20l_Mhac,9.47541e-05,197.677,TRUE
NZ,0.9,Diag,Diag,20length,Estimated,N_h09_Rb_Vb_D20l_Mest,0.000193678,210.974,TRUE
NZ,0.9,Diag,Diag,20weight,HamelCope,N_h09_Rb_Vb_D20w_Mhac,1.70501e-05,219.833,TRUE
NZ,0.9,Diag,Diag,20weight,Estimated,N_h09_Rb_Vb_D20w_Mest,8.20874e-05,233.919,TRUE
NZ,0.9,Diag,Diag,Diag,HamelCope,N_h09_Rb_Vb_Dbas_Mhac,9.64435e-06,194.26,TRUE
NZ,0.9,Diag,Diag,Diag,Estimated,N_h09_Rb_Vb_Dbas_Mest,1.03791e-08,206.977,TRUE
NZ,0.9,Diag,Half1to2,05length,HamelCope,N_h09_Rb_V1_D05l_Mhac,6.97921e-05,191.439,TRUE
NZ,0.9,Diag,Half1to2,05length,Estimated,N_h09_Rb_V1_D05l_Mest,1.36557e-05,203.394,TRUE
NZ,0.9,Diag,Half1to2,05weight,HamelCope,N_h09_Rb_V1_D05w_Mhac,0.000307898,169.595,TRUE
NZ,0.9,Diag,Half1to2,05weight,Estimated,N_h09_Rb_V1_D05w_Mest,2.95113e-05,180.653,TRUE
NZ,0.9,Diag,Half1to2,20length,HamelCope,N_h09_Rb_V1_D20l_Mhac,8.6156e-05,198.152,TRUE
NZ,0.9,Diag,Half1to2,20length,Estimated,N_h09_Rb_V1_D20l_Mest,0.000414316,210.739,TRUE
NZ,0.9,Diag,Half1to2,20weight,HamelCope,N_h09_Rb_V1_D20w_Mhac,0.00132351,220.541,TRUE
NZ,0.9,Diag,Half1to2,20weight,Estimated,N_h09_Rb_V1_D20w_Mest,6.56812e-06,233.501,TRUE
NZ,0.9,Diag,Half1to2,Diag,HamelCope,N_h09_Rb_V1_Dbas_Mhac,0.000119905,194.599,TRUE
NZ,0.9,Diag,Half1to2,Diag,Estimated,N_h09_Rb_V1_Dbas_Mest,0.00083686,206.786,TRUE
NZ,0.9,Diag,Half2to1,05length,HamelCope,N_h09_Rb_V2_D05l_Mhac,8.89996e-05,190.511,TRUE
NZ,0.9,Diag,Half2to1,05length,Estimated,N_h09_Rb_V2_D05l_Mest,1.2731e-07,203.709,TRUE
NZ,0.9,Diag,Half2to1,05weight,HamelCope,N_h09_Rb_V2_D05w_Mhac,9.65429e-05,168.682,TRUE
NZ,0.9,Diag,Half2to1,05weight,Estimated,N_h09_Rb_V2_D05w_Mest,0.000502284,180.597,TRUE
NZ,0.9,Diag,Half2to1,20length,HamelCope,N_h09_Rb_V2_D20l_Mhac,1.09545e-06,196.943,TRUE
NZ,0.9,Diag,Half2to1,20length,Estimated,N_h09_Rb_V2_D20l_Mest,0.000136946,211.077,TRUE
NZ,0.9,Diag,Half2to1,20weight,HamelCope,N_h09_Rb_V2_D20w_Mhac,9.49361e-05,219.082,TRUE
NZ,0.9,Diag,Half2to1,20weight,Estimated,N_h09_Rb_V2_D20w_Mest,0.000202433,234.696,TRUE
NZ,0.9,Diag,Half2to1,Diag,HamelCope,N_h09_Rb_V2_Dbas_Mhac,0.00011227,193.54,TRUE
NZ,0.9,Diag,Half2to1,Diag,Estimated,N_h09_Rb_V2_Dbas_Mest,0.000177713,206.98,TRUE
NZ,0.9,MoreR2,Diag,05length,HamelCope,N_h09_R2_Vb_D05l_Mhac,0.000117081,193.075,TRUE
NZ,0.9,MoreR2,Diag,05length,Estimated,N_h09_R2_Vb_D05l_Mest,2.08875e-05,203.455,TRUE
NZ,0.9,MoreR2,Diag,05weight,HamelCope,N_h09_R2_Vb_D05w_Mhac,2.90786e-05,171.136,TRUE
NZ,0.9,MoreR2,Diag,05weight,Estimated,N_h09_R2_Vb_D05w_Mest,1.57249e-08,180.585,TRUE
NZ,0.9,MoreR2,Diag,20length,HamelCope,N_h09_R2_Vb_D20l_Mhac,0.00119112,199.75,TRUE
NZ,0.9,MoreR2,Diag,20length,Estimated,N_h09_R2_Vb_D20l_Mest,6.68174e-05,210.64,TRUE
NZ,0.9,MoreR2,Diag,20weight,HamelCope,N_h09_R2_Vb_D20w_Mhac,6.19237e-05,222.143,TRUE
NZ,0.9,MoreR2,Diag,20weight,Estimated,N_h09_R2_Vb_D20w_Mest,8.25515e-05,233.78,TRUE
NZ,0.9,MoreR2,Diag,Diag,HamelCope,N_h09_R2_Vb_Dbas_Mhac,0.00030184,196.235,TRUE
NZ,0.9,MoreR2,Diag,Diag,Estimated,N_h09_R2_Vb_Dbas_Mest,0.000503373,206.8,TRUE
NZ,0.9,MoreR2,Half1to2,05length,HamelCope,N_h09_R2_V1_D05l_Mhac,8.43954e-05,193.55,TRUE
NZ,0.9,MoreR2,Half1to2,05length,Estimated,N_h09_R2_V1_D05l_Mest,5.16234e-07,203.307,TRUE
NZ,0.9,MoreR2,Half1to2,05weight,HamelCope,N_h09_R2_V1_D05w_Mhac,5.29766e-06,171.564,TRUE
NZ,0.9,MoreR2,Half1to2,05weight,Estimated,N_h09_R2_V1_D05w_Mest,1.58713e-05,180.537,TRUE
NZ,0.9,MoreR2,Half1to2,20length,HamelCope,N_h09_R2_V1_D20l_Mhac,4.42014e-05,200.158,TRUE
NZ,0.9,MoreR2,Half1to2,20length,Estimated,N_h09_R2_V1_D20l_Mest,0.000303866,210.444,TRUE
NZ,0.9,MoreR2,Half1to2,20weight,HamelCope,N_h09_R2_V1_D20w_Mhac,8.50081e-05,222.566,TRUE
NZ,0.9,MoreR2,Half1to2,20weight,Estimated,N_h09_R2_V1_D20w_Mest,4.7908e-09,233.421,TRUE
NZ,0.9,MoreR2,Half1to2,Diag,HamelCope,N_h09_R2_V1_Dbas_Mhac,0.000159254,196.678,TRUE
NZ,0.9,MoreR2,Half1to2,Diag,Estimated,N_h09_R2_V1_Dbas_Mest,1.0595e-05,206.62,TRUE
NZ,0.9,MoreR2,Half2to1,05length,HamelCope,N_h09_R2_V2_D05l_Mhac,1.38156e-06,192.101,TRUE
NZ,0.9,MoreR2,Half2to1,05length,Estimated,N_h09_R2_V2_D05l_Mest,2.29335e-06,203.637,TRUE
NZ,0.9,MoreR2,Half2to1,05weight,HamelCope,N_h09_R2_V2_D05w_Mhac,9.7504e-05,170.17,TRUE
NZ,0.9,MoreR2,Half2to1,05weight,Estimated,N_h09_R2_V2_D05w_Mest,6.81125e-05,180.443,TRUE
NZ,0.9,MoreR2,Half2to1,20length,HamelCope,N_h09_R2_V2_D20l_Mhac,2.59847e-05,198.547,TRUE
NZ,0.9,MoreR2,Half2to1,20length,Estimated,N_h09_R2_V2_D20l_Mest,0.00018675,210.729,TRUE
NZ,0.9,MoreR2,Half2to1,20weight,HamelCope,N_h09_R2_V2_D20w_Mhac,0.000833354,220.865,TRUE
NZ,0.9,MoreR2,Half2to1,20weight,Estimated,N_h09_R2_V2_D20w_Mest,1.85788e-06,234.551,TRUE
NZ,0.9,MoreR2,Half2to1,Diag,HamelCope,N_h09_R2_V2_Dbas_Mhac,6.4834e-05,195.168,TRUE
NZ,0.9,MoreR2,Half2to1,Diag,Estimated,N_h09_R2_V2_Dbas_Mest,5.90997e-08,206.905,TRUE
PICT,0.7,Diag,Diag,05length,HamelCope,P_h07_Rb_Vb_D05l_Mhac,4.11511e-05,193.229,TRUE
